"2,768","3,377","4,111",265,"6,012","8,842","2,128","7,217","1,141",371,108,"1,493",-,9,"1,043"
72,"4,236",-,117,"3,320",39,90,299,27,-,-,"1,289",-,0,197
608,111,17,-,746,-,508,171,6,-,-,-,-,0,55
142,"1,025",575,99,"10,083",190,"7,117","2,845",562,120,-,206,-,19,"1,437"
202,943,769,"4,794","14,124","1,101","1,188","9,746","2,205",614,-,"7,016",780,3,"1,700"
15,-,"3,741","1,399","2,388",-,24,"1,461",10,8,3,189,-,1,261
"2,859",36,756,-,"2,151",-,35,5,28,-,-,230,-,0,158
94,961,"2,517",161,"5,001",193,257,612,484,-,147,"3,336",-,4,758
"1,585","4,425","1,770",-,"6,331",105,109,"5,328","1,394",-,-,"1,800",-,3,584
18,"1,009",70,397,"2,125",-,24,"2,478",91,16,-,35,-,1,172
58,777,"5,703",-,"3,325",145,45,377,31,-,-,"2,648",-,6,352
8,83,"1,631",-,"2,031",-,12,82,29,-,-,765,-,0,0
81,"2,740",938,145,"11,252",152,137,"1,124",236,-,160,289,-,103,308
62,"1,464",145,302,"3,401",21,170,"3,124",115,-,-,"2,727",-,4,592
15,36,"6,162",26,"7,359",-,53,92,76,-,-,325,-,1,260
248,"1,709","7,407",155,"10,392",151,109,"2,978",649,425,-,"2,884",-,1,891
"2,661","5,887","7,359",905,"13,703",803,448,"4,082","9,401",-,"1,453","8,336",-,716,"3,404"
390,"4,311",134,563,"5,360",95,109,286,62,-,18,"5,400",665,63,570
88,"8,896",176,-,"5,916",-,80,228,-,-,-,305,-,0,480
3,"1,252",329,-,"1,603",-,6,2,1,-,-,476,-,0,32
439,"2,836","1,815",303,"4,119",312,72,"5,834",103,101,-,950,-,5,584
24,"9,349",89,107,"10,703",-,184,41,266,-,-,21,-,0,474
"-",13,-,6,"3,298",-,6,8,2,-,4,"3,391",-,0,73
"-","4,831",-,-,"4,057",-,31,355,103,24,-,7,-,1,183
441,"1,305",-,-,"1,625",-,17,5,44,-,9,941,-,0,102
224,"2,101",121,-,"1,647",17,274,601,28,-,27,256,-,0,98
"1,579",784,89,52,"4,565",6,43,"3,224",84,-,-,947,-,100,212
