"muni","total","danio","delsex","hom","les","robo","otros","year","muniYear"
"07085",38,NA,NA,NA,NA,NA,38,1994,"07085_1994"
"07086",46,NA,NA,NA,NA,NA,46,1994,"07086_1994"
"07087",451,NA,NA,NA,NA,NA,451,1994,"07087_1994"
"07088",7,NA,NA,NA,NA,NA,7,1994,"07088_1994"
"07089",3731,NA,NA,NA,NA,NA,3731,1994,"07089_1994"
"07090",14,NA,NA,NA,NA,NA,14,1994,"07090_1994"
"07091",90,NA,NA,NA,NA,NA,90,1994,"07091_1994"
"07092",408,NA,NA,NA,NA,NA,408,1994,"07092_1994"
"07093",39,NA,NA,NA,NA,NA,39,1994,"07093_1994"
"07094",160,NA,NA,NA,NA,NA,160,1994,"07094_1994"
"07096",103,NA,NA,NA,NA,NA,103,1994,"07096_1994"
"07097",873,NA,NA,NA,NA,NA,873,1994,"07097_1994"
"07098",6,NA,NA,NA,NA,NA,6,1994,"07098_1994"
"07099",277,NA,NA,NA,NA,NA,277,1994,"07099_1994"
"07100",52,NA,NA,NA,NA,NA,52,1994,"07100_1994"
"07101",9183,NA,NA,NA,NA,NA,9183,1994,"07101_1994"
"07102",157,NA,NA,NA,NA,NA,157,1994,"07102_1994"
"07103",158,NA,NA,NA,NA,NA,158,1994,"07103_1994"
"07104",30,NA,NA,NA,NA,NA,30,1994,"07104_1994"
"07105",26,NA,NA,NA,NA,NA,26,1994,"07105_1994"
"07106",487,NA,NA,NA,NA,NA,487,1994,"07106_1994"
"07107",546,NA,NA,NA,NA,NA,546,1994,"07107_1994"
"07108",779,NA,NA,NA,NA,NA,779,1994,"07108_1994"
"07109",173,NA,NA,NA,NA,NA,173,1994,"07109_1994"
"07110",8,NA,NA,NA,NA,NA,8,1994,"07110_1994"
"07111",37,NA,NA,NA,NA,NA,37,1994,"07111_1994"
"07112",0,NA,NA,NA,NA,NA,0,1994,"07112_1994"
"07113",NA,NA,NA,NA,NA,NA,NA,1994,"07113_1994"
"07114",NA,NA,NA,NA,NA,NA,NA,1994,"07114_1994"
"07115",NA,NA,NA,NA,NA,NA,NA,1994,"07115_1994"
"07116",NA,NA,NA,NA,NA,NA,NA,1994,"07116_1994"
"07117",NA,NA,NA,NA,NA,NA,NA,1994,"07117_1994"
"07118",NA,NA,NA,NA,NA,NA,NA,1994,"07118_1994"
"07119",NA,NA,NA,NA,NA,NA,NA,1994,"07119_1994"
"07120",NA,NA,NA,NA,NA,NA,NA,1994,"07120_1994"
"07121",NA,NA,NA,NA,NA,NA,NA,1994,"07121_1994"
"07122",NA,NA,NA,NA,NA,NA,NA,1994,"07122_1994"
"07123",NA,NA,NA,NA,NA,NA,NA,1994,"07123_1994"
"07124",NA,NA,NA,NA,NA,NA,NA,1994,"07124_1994"
"08001",125,NA,NA,NA,NA,NA,125,1994,"08001_1994"
"08002",527,NA,NA,NA,NA,NA,527,1994,"08002_1994"
"08003",65,NA,NA,NA,NA,NA,65,1994,"08003_1994"
"08004",11,NA,NA,NA,NA,NA,11,1994,"08004_1994"
"08005",205,NA,NA,NA,NA,NA,205,1994,"08005_1994"
"08006",68,NA,NA,NA,NA,NA,68,1994,"08006_1994"
"08007",94,NA,NA,NA,NA,NA,94,1994,"08007_1994"
