"muniYear","IM"
"05013_1990",-0.258
"05001_2000",-1.205
"05001_2010",-1.096
"05001_2015",-1.184
"05001_2005",-1.041
"06007_2015",-1.509
"06007_2010",-1.553
"06002_2015",-1.595
"06002_2010",-1.698
"06007_2005",-1.513
"06010_2015",-1.801
"06002_2005",-1.724
"06002_2000",-1.799
"06007_2000",-1.522
"06009_2015",-0.716
"06002_1995",-1.839
"06010_2010",-1.928
"06002_1990",-2.012
"06009_2010",-0.87
"06007_1995",-1.624
"06010_2005",-1.875
"06009_2000",-0.842
"06009_2005",-0.804
"06007_1990",-1.681
"06009_1995",-0.992
"06009_1990",-1.043
"06010_2000",-1.87
"06010_1995",-1.51
"06010_1990",-1.688
"06005_2015",-1.285
"06001_2015",-0.481
"06001_2010",-0.689
"06001_2000",-0.709
"06001_1995",-0.927
"06001_1990",-0.955
"06005_2010",-1.342
"06005_2000",-1.296
"06005_2005",-1.245
"06005_1995",-1.416
"06001_2005",-0.688
"06005_1990",-1.454
"06003_2015",-0.873
"06003_2010",-0.931
"06004_2015",-0.952
"06003_2005",-0.803
"06004_2010",-0.956
"06003_2000",-0.768
"06004_2000",-0.806
"06003_1995",-0.942
"06004_2005",-0.838
"06004_1995",-1.005
"06003_1990",-0.847
"06004_1990",-1.032
"06008_2015",-0.762
"06008_2000",-0.684
"06008_1995",-1.142
"06008_1990",-0.954
"06008_2010",-0.814
"06008_2005",-0.641
"06006_2015",-0.261
"06006_2000",-0.229
"06006_2010",-0.303
"06006_1990",-0.207
"06006_1995",-0.455
"06006_2005",-0.338
"07101_2015",-1.29
"07101_2010",-1.345
"07101_2005",-1.26
"07101_2000",-1.385
"07101_1995",-1.288
"07089_2015",-0.577
"07089_2010",-0.437
"07101_1990",-1.564
"07089_2005",-0.437
"07089_2000",-0.552
"07089_1995",-0.478
"07089_1990",-0.585
"07059_2015",1.417
"07078_2015",-0.729
"07059_2010",1.256
"07078_2010",-0.529
"07059_2005",1.457
"07078_2005",-0.62
"07059_1995",1.874
"07019_2015",-0.235
"07059_2000",0.98
"07019_2010",-0.399
"07078_2000",-0.734
"07031_2015",2.238
"07052_2015",1.393
"07019_2005",-0.416
"07059_1990",1.38
"07065_2015",0.475
"07078_1995",-0.586
"07031_2010",2.089
"07052_2010",1.219
"07065_2010",0.62
"07019_2000",-0.377
"07108_2015",0.205
"07027_2015",-0.198
"07052_1995",2.175
"07108_2010",0.191
"07052_2005",1.134
"07065_2005",0.604
"07031_2005",2.153
"07019_1995",-0.181
"07108_2005",0.149
"07061_2015",0.379
"07078_1990",-0.689
"07097_2015",-0.028
"07027_2010",-0.148
"07023_2015",1.993
"07052_1990",1.482
"07052_2000",1.136
"07108_2000",0.005
"07065_2000",0.507
"07097_2010",0.028
"07017_2015",0.004
"07061_2010",0.413
"07108_1995",-0.225
"07107_2015",0.772
"07019_1990",-0.295
"07097_2005",-0.075
"07097_2000",-0.153
"07017_2010",0.13
"07065_1995",0.482
"07031_2000",2.046
"07096_2015",1.589
"07023_2010",1.815
"07099_2015",0.681
"07107_2010",0.693
"07097_1995",-0.331
"07017_2005",0.155
"07027_2005",-0.007
"07034_2015",0.336
"07108_1990",-0.148
"07057_2015",0.258
"07099_2010",0.56
"07061_2005",0.428
"07096_2010",1.275
"07031_1995",1.854
"07057_2010",0.476
"07107_2000",0.603
"07107_2005",0.677
"07097_1990",-0.339
"07023_2005",1.882
"07034_2010",0.222
"07031_1990",1.886
"07061_2000",0.361
"07106_2015",0.851
"07017_2000",0.102
"07017_1995",0.022
"07077_2015",1.484
"07107_1995",0.31
"07065_1990",0.632
"07096_2005",1.423
"07106_2010",0.733
"07027_2000",-0.03
"07099_2005",0.505
"07057_2000",0.305
"07099_2000",0.646
"07017_1990",-0.15
"07023_2000",2.093
"07099_1995",1.022
"07027_1995",-0.128
"07061_1995",0.199
"07096_2000",1.359
"07057_2005",0.583
"07099_1990",0.818
"07034_2005",0.137
"07077_2010",1.395
"07106_2005",0.737
"07107_1990",0.275
"07040_2015",0.141
"07077_2005",1.693
"07069_2015",0.51
"07057_1995",0.267
"07023_1995",1.997
"07106_2000",0.574
"07034_2000",0.171
"07023_1990",2.088
"07106_1995",0.106
"07012_2015",0.152
"07040_2010",0.005
"07069_2010",0.523
"07034_1995",0.353
"07077_2000",1.749
"07096_1995",1.355
"07096_1990",1.563
"07040_2000",-0.23
"07064_2015",2.078
"07057_1990",0.414
"07061_1990",0.175
"07040_2005",-0.151
"07051_2015",0.249
"07040_1995",-0.244
"07069_1995",0.281
"07069_2000",0.401
"07069_2005",0.495
"07020_2015",1.063
"07015_2015",0.092
"07077_1995",1.609
"07027_1990",-0.2
"07074_2015",-0.901
"07041_2015",0.515
"07040_1990",-0.301
"07081_2015",1.564
"07034_1990",0.389
"07020_2010",1.042
"07051_2010",0.368
"07015_2010",0.006
"07093_2015",1.266
"07064_2010",1.659
"07106_1990",0.235
"07069_1990",0.332
"07012_2010",0.48
"07094_2015",1.097
"07102_2015",0.298
"07064_1995",2.172
"07077_1990",1.589
"07064_2005",1.788
"07092_2015",0.788
"07041_2010",0.694
"07111_2015",1.692
