"muniYear","muni","year","tomas_dom_agua","tomas_elec","sist_dren"
"08027_1994","08027",1994,1760,2360,1
"08028_1994","08028",1994,1857,4526,2
"08029_1994","08029",1994,780,429,1
"08030_1994","08030",1994,366,NA,0
"08031_1994","08031",1994,6425,7530,6
"08032_1994","08032",1994,22437,22406,1
"08033_1994","08033",1994,153,228,0
"08034_1994","08034",1994,1897,1260,1
"08035_1994","08035",1994,1528,1436,1
"08036_1994","08036",1994,8441,8970,5
"08037_1994","08037",1994,200595,179334,1
"08038_1994","08038",1994,1177,2760,2
"08039_1994","08039",1994,1084,571,3
"08040_1994","08040",1994,6936,6390,3
"08041_1994","08041",1994,71,NA,0
"08042_1994","08042",1994,397,162,0
"08043_1994","08043",1994,781,998,2
"08044_1994","08044",1994,1032,1095,0
"08045_1994","08045",1994,9652,8158,13
"08046_1994","08046",1994,106,NA,0
"08047_1994","08047",1994,235,NA,0
"08048_1994","08048",1994,5308,7120,0
"08049_1994","08049",1994,362,262,0
"08050_1994","08050",1994,14151,11417,1
"08051_1994","08051",1994,493,NA,0
"08052_1994","08052",1994,5731,6215,1
"08053_1994","08053",1994,1874,NA,0
"08054_1994","08054",1994,306,776,0
"08055_1994","08055",1994,2813,2387,5
"08056_1994","08056",1994,539,644,0
"08057_1994","08057",1994,565,652,1
"08058_1994","08058",1994,597,778,4
"08059_1994","08059",1994,1662,2392,1
"08060_1994","08060",1994,2494,3366,1
"08061_1994","08061",1994,1011,162,1
"08062_1994","08062",1994,6783,5810,12
"08063_1994","08063",1994,1133,1057,0
"08064_1994","08064",1994,414,79,0
"08065_1994","08065",1994,1103,29,0
"08066_1994","08066",1994,261,NA,1
"08067_1994","08067",1994,1190,NA,0
"09002_1994","09002",1994,NA,NA,NA
"09003_1994","09003",1994,NA,NA,NA
"09004_1994","09004",1994,NA,NA,NA
"09005_1994","09005",1994,NA,NA,NA
"09006_1994","09006",1994,NA,NA,NA
"09007_1994","09007",1994,NA,NA,NA
"09008_1994","09008",1994,NA,NA,NA
"09009_1994","09009",1994,NA,NA,NA
"09010_1994","09010",1994,NA,NA,NA
"09011_1994","09011",1994,NA,NA,NA
"09012_1994","09012",1994,NA,NA,NA
"09013_1994","09013",1994,NA,NA,NA
"09014_1994","09014",1994,NA,NA,NA
"09015_1994","09015",1994,NA,NA,NA
"09016_1994","09016",1994,NA,NA,NA
"09017_1994","09017",1994,NA,NA,NA
