"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"08013",8919,NA,1995,"08013_1995"
"08014",2247,NA,1995,"08014_1995"
"08015",1828,NA,1995,"08015_1995"
"08016",3339,NA,1995,"08016_1995"
"08017",102660,NA,1995,"08017_1995"
"08018",5455,NA,1995,"08018_1995"
"08019",543175,NA,1995,"08019_1995"
"08020",5759,NA,1995,"08020_1995"
"08021",95961,NA,1995,"08021_1995"
"08022",4227,NA,1995,"08022_1995"
"08023",3038,NA,1995,"08023_1995"
"08024",4610,NA,1995,"08024_1995"
"08025",8305,NA,1995,"08025_1995"
"08026",4239,NA,1995,"08026_1995"
"08027",31361,NA,1995,"08027_1995"
"08028",8183,NA,1995,"08028_1995"
"08029",34646,NA,1995,"08029_1995"
"08030",7253,NA,1995,"08030_1995"
"08031",34651,NA,1995,"08031_1995"
"08032",84938,NA,1995,"08032_1995"
"08033",1298,NA,1995,"08033_1995"
"08034",6880,NA,1995,"08034_1995"
"08035",9060,NA,1995,"08035_1995"
"08036",34118,NA,1995,"08036_1995"
"08037",857216,NA,1995,"08037_1995"
"08038",4696,NA,1995,"08038_1995"
"08039",4048,NA,1995,"08039_1995"
"08040",29671,NA,1995,"08040_1995"
"08041",1735,NA,1995,"08041_1995"
"08042",2025,NA,1995,"08042_1995"
"08043",3123,NA,1995,"08043_1995"
"08044",3870,NA,1995,"08044_1995"
"08045",33073,NA,1995,"08045_1995"
"08046",6647,NA,1995,"08046_1995"
"08047",4303,NA,1995,"08047_1995"
"08048",21358,NA,1995,"08048_1995"
"08049",2789,NA,1995,"08049_1995"
"08050",46034,NA,1995,"08050_1995"
"08051",6321,NA,1995,"08051_1995"
"08052",20497,NA,1995,"08052_1995"
"08053",7683,NA,1995,"08053_1995"
"08054",7656,NA,1995,"08054_1995"
"08055",12861,NA,1995,"08055_1995"
"08056",2813,NA,1995,"08056_1995"
"08057",2371,NA,1995,"08057_1995"
"08058",2630,NA,1995,"08058_1995"
"08059",6103,NA,1995,"08059_1995"
"08060",11053,NA,1995,"08060_1995"
"08061",5249,NA,1995,"08061_1995"
"08062",26879,NA,1995,"08062_1995"
"08063",6344,NA,1995,"08063_1995"
"08064",2302,NA,1995,"08064_1995"
"08065",15663,NA,1995,"08065_1995"
"08066",7040,NA,1995,"08066_1995"
"08067",5414,NA,1995,"08067_1995"
"09002",408138,NA,1995,"09002_1995"
"09003",589471,NA,1995,"09003_1995"
"09004",118498,NA,1995,"09004_1995"
"09005",1115998,NA,1995,"09005_1995"
"09006",373274,NA,1995,"09006_1995"
"09007",1476203,NA,1995,"09007_1995"
"09008",186572,NA,1995,"09008_1995"
"09009",69721,NA,1995,"09009_1995"
"09010",598972,NA,1995,"09010_1995"
"09011",220273,NA,1995,"09011_1995"
"09012",489185,NA,1995,"09012_1995"
"09013",290176,NA,1995,"09013_1995"
"09014",340918,NA,1995,"09014_1995"
"09015",487198,NA,1995,"09015_1995"
"09016",331267,NA,1995,"09016_1995"
"09017",434183,NA,1995,"09017_1995"
"10001",30104,NA,1995,"10001_1995"
"10002",3745,NA,1995,"10002_1995"
"10003",4540,NA,1995,"10003_1995"
"10004",29651,NA,1995,"10004_1995"
"10005",395635,NA,1995,"10005_1995"
"10006",10627,NA,1995,"10006_1995"
"10007",220168,NA,1995,"10007_1995"
"10008",28123,NA,1995,"10008_1995"
"10009",9716,NA,1995,"10009_1995"
"10010",4470,NA,1995,"10010_1995"
"10011",5969,NA,1995,"10011_1995"
"10012",90158,NA,1995,"10012_1995"
"10013",20345,NA,1995,"10013_1995"
"10014",21437,NA,1995,"10014_1995"
"10015",11137,NA,1995,"10015_1995"
"10016",16729,NA,1995,"10016_1995"
"10017",10104,NA,1995,"10017_1995"
"10018",11904,NA,1995,"10018_1995"
"10019",4486,NA,1995,"10019_1995"
"10020",12594,NA,1995,"10020_1995"
"10021",9785,NA,1995,"10021_1995"
"10022",22905,NA,1995,"10022_1995"
"10023",35237,NA,1995,"10023_1995"
"10024",11669,NA,1995,"10024_1995"
"10025",4329,NA,1995,"10025_1995"
"10026",18760,NA,1995,"10026_1995"
"10027",6062,NA,1995,"10027_1995"
"10028",12317,NA,1995,"10028_1995"
"10029",2034,NA,1995,"10029_1995"
"10030",1836,NA,1995,"10030_1995"
"10031",6823,NA,1995,"10031_1995"
"10032",36197,NA,1995,"10032_1995"
"10033",6444,NA,1995,"10033_1995"
"10034",21575,NA,1995,"10034_1995"
"10035",11726,NA,1995,"10035_1995"
